,id,candidate,song,artist,sentiment,theme,album_release_date,line,url,lyrics_views,track_release_date,years_match,corrected_release_year,split_lyrics
94,95,Hillary Clinton,I'm Me Freestyle,"Royce Da 5'9""",neutral,,2008,"This industry is Hillary Clinton literally, listen / You ain't got no choice now",http://genius.com/Royce-da-59-im-me-freestyle-lyrics,6311,2008-09-20,True,2008,"['This', 'industry', 'is', 'Hillary', 'Clinton', 'literally', 'listen', '/', 'You', ""ain't"", 'got', 'no', 'choice', 'now']"
95,96,Hillary Clinton,Back Together,Nicki Minaj,positive,,2015,Used to call me Hillary cause I ride 'em,http://genius.com/Robin-thicke-back-together-lyrics,114064,2016-08-06,False,2016,"['Used', 'to', 'call', 'me', 'Hillary', 'cause', 'I', 'ride', ""'em""]"
96,98,Hillary Clinton,What the Fuck Is Up?,Scarlett,neutral,personal,1999,"Wanna diss me, cuz I cut you down quickly / I'm Hillary to this shit, you still fuckin with Lewinsky",http://genius.com/Nore-what-the-fuck-is-up-lyrics,692,,,1999,"['Wanna', 'diss', 'me', 'cuz', 'I', 'cut', 'you', 'down', 'quickly', '/', ""I'm"", 'Hillary', 'to', 'this', 'shit', 'you', 'still', 'fuckin', 'with', 'Lewinsky']"
97,99,Hillary Clinton,Shit Iz Real,Shyheim,neutral,money,1996,Where ya at? Cats sacking green/ Bill/Hill Clinton,http://genius.com/Shyheim-shit-iz-real-lyrics,564,,,1996,"['Where', 'ya', 'at?', 'Cats', 'sacking', 'green/', 'Bill/Hill', 'Clinton']"
98,100,Hillary Clinton,Badman in Tivoli,Skepta,neutral,personal,2012,Black Bill Clinton linking Monica and Hillary,http://genius.com/Skepta-badman-in-tivoli-lyrics,14364,2012-12-02,True,2012,"['Black', 'Bill', 'Clinton', 'linking', 'Monica', 'and', 'Hillary']"
99,101,Hillary Clinton,Fresh,Slick Rick,neutral,personal,1998,Babies jump out the carriage / Could even fix the Hillary and Clinton marriage,http://genius.com/Jermaine-dupri-fresh-lyrics,710,1998-07-21,True,1998,"['Babies', 'jump', 'out', 'the', 'carriage', '/', 'Could', 'even', 'fix', 'the', 'Hillary', 'and', 'Clinton', 'marriage']"
100,102,Hillary Clinton,Sky Lanterns,Social Club,neutral,,2015,Hillary Jane over Hilary Rodham,http://genius.com/Social-club-sky-lanterns-lyrics,8912,2015-02-09,True,2015,"['Hillary', 'Jane', 'over', 'Hilary', 'Rodham']"
101,103,Hillary Clinton,Gang Love,T.H.U.G. Angelz,negative,political,2008,It's like we paying them rent to live inside a prison / Hilary Clinton is benefiting them politicians,http://genius.com/Thug-angelz-gang-love-lyrics,190,,,2008,"[""It's"", 'like', 'we', 'paying', 'them', 'rent', 'to', 'live', 'inside', 'a', 'prison', '/', 'Hilary', 'Clinton', 'is', 'benefiting', 'them', 'politicians']"
102,104,Hillary Clinton,Nightmares of the Bottom (Triggamix),Trey Songz,negative,sexual,2011,She think she's my bottom bitch; Hillary Rodham-ish,http://genius.com/Trey-songz-nightmares-of-the-bottom-triggamix-lyrics,8139,2011-11-01,True,2011,"['She', 'think', ""she's"", 'my', 'bottom', 'bitch;', 'Hillary', 'Rodham-ish']"
103,105,Hillary Clinton,Rich the GOAT,Rich The Kid,positive,political,2016,"Hillary hit the dab, Ima vote",http://genius.com/Rich-the-kid-rich-the-goat-lyrics,3391,2016-02-15,True,2016,"['Hillary', 'hit', 'the', 'dab', 'Ima', 'vote']"
