id,candidate,song,artist,sentiment,theme,album_release_date,line,url,lyrics_views,track_release_date,years_match,corrected_release_year,split_lyrics
44,Hillary Clinton,Role Model,Eminem,negative,,1999,Hillary Clinton tried to slap me and call me a pervert / I ripped her fucking tonsils out and fed her sherbet (bitch!),http://genius.com/Eminem-role-model-lyrics,448912,5/26/99,TRUE,1999,"['Hillary', 'Clinton', 'tried', 'to', 'slap', 'me', 'and', 'call', 'me', 'a', 'pervert', '/', 'I', 'ripped', 'her', 'fucking', 'tonsils', 'out', 'and', 'fed', 'her', 'sherbet', '(bitch!)']"
45,Hillary Clinton,Sway in the Morning Freestyle,Eminem,negative,political,2015,"But Hilllary, I promise to wipe my server clean if you face subpoenas",http://genius.com/Eminem-sway-in-the-morning-freestyle-lyrics,100754,7/23/15,TRUE,2015,"['But', 'Hilllary', 'I', 'promise', 'to', 'wipe', 'my', 'server', 'clean', 'if', 'you', 'face', 'subpoenas']"
46,Hillary Clinton,A Milli,Fabolous,negative,personal,2008,"Hillary, Bill Clin--Fuck it. They don't get it",http://genius.com/Fabolous-a-milli-lyrics,6560,,,2008,"['Hillary', 'Bill', 'Clin--Fuck', 'it.', 'They', ""don't"", 'get', 'it']"
47,Hillary Clinton,Hit It for Free,Field Mob,negative,personal,2002,I'm like Farakahn being best friends with porky pig / Or like Hillary Clinton dikin' with Lewinsky,http://genius.com/Field-mob-hit-it-for-free-lyrics,639,,,2002,"[""I'm"", 'like', 'Farakahn', 'being', 'best', 'friends', 'with', 'porky', 'pig', '/', 'Or', 'like', 'Hillary', 'Clinton', ""dikin'"", 'with', 'Lewinsky']"
48,Hillary Clinton,Make U Feel Alright,Jay Da Menace,positive,personal,2009,"Got'chu feelin me the way that Jada feelin Will / And Hillary feelin Bill, a chick that gon' keep it real - f'real",http://genius.com/Juvenile-make-u-feel-alright-lyrics,810,,,2009,"[""Got'chu"", 'feelin', 'me', 'the', 'way', 'that', 'Jada', 'feelin', 'Will', '/', 'And', 'Hillary', 'feelin', 'Bill', 'a', 'chick', 'that', ""gon'"", 'keep', 'it', 'real', '-', ""f'real""]"
49,Hillary Clinton,Dope Boy,Gorilla Zoe,neutral,,2009,"Hey Ms. Hilary, can't be kin to me (No) / But I keep that white bitch on another level G",http://genius.com/Gorilla-zoe-dope-boy-lyrics,579,,,2009,"['Hey', 'Ms.', 'Hilary', ""can't"", 'be', 'kin', 'to', 'me', '(No)', '/', 'But', 'I', 'keep', 'that', 'white', 'bitch', 'on', 'another', 'level', 'G']"
50,Hillary Clinton,Money Man,Gorilla Zoe,neutral,personal,2007,"Keep dat white girl Hillary, a pound of Bill Clinton",http://genius.com/Gorilla-zoe-money-man-lyrics,816,,,2007,"['Keep', 'dat', 'white', 'girl', 'Hillary', 'a', 'pound', 'of', 'Bill', 'Clinton']"
51,Hillary Clinton,What's Goin' On,Gravediggaz,neutral,personal,1997,"Killa Bee, presidential suite, Bill and Hillary",http://genius.com/Gravediggaz-whats-goin-on-lyrics,809,10/14/97,TRUE,1997,"['Killa', 'Bee', 'presidential', 'suite', 'Bill', 'and', 'Hillary']"
52,Hillary Clinton,Greasy,Gucci Mane,neutral,,2013,What you're Hillary Rodham bitch?,http://genius.com/Gucci-mane-greasy-lyrics,21912,,,2013,"['What', ""you're"", 'Hillary', 'Rodham', 'bitch?']"
53,Hillary Clinton,Every Girl,Gudda Gudda,neutral,,2010,"And Hillary can Rodham too, boy, I gets my pimpin' on",http://genius.com/Young-money-every-girl-lyrics,245162,4/6/09,FALSE,2009,"['And', 'Hillary', 'can', 'Rodham', 'too', 'boy', 'I', 'gets', 'my', ""pimpin'"", 'on']"
54,Hillary Clinton,Bad Bad Bad,Gucci Mane,positive,personal,2010,Stay down like Hillary and I can be your Billy,http://genius.com/Gucci-mane-bad-bad-bad-lyrics,3215,12/8/09,FALSE,2009,"['Stay', 'down', 'like', 'Hillary', 'and', 'I', 'can', 'be', 'your', 'Billy']"
55,Hillary Clinton,Hand of the Dead Body,Ice Cube,negative,personal,1994,"And I can't stop, won't stop / So fuck Bill and Hillary",http://genius.com/Scarface-hand-of-the-dead-body-lyrics,27481,10/18/94,TRUE,1994,"['And', 'I', ""can't"", 'stop', ""won't"", 'stop', '/', 'So', 'fuck', 'Bill', 'and', 'Hillary']"
